Date,Time,Soil Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Irrigation Amount (liters),Crop Type,Irrigation Status
2025-01-01,000:00,34,34.91903481168798,56,16.856908752956596,36,Tomato,0
2025-01-01,001:00,67,34.301185804216416,91,25.631545639359487,0,Corn,0
2025-01-01,002:00,56,16.259056122107076,97,15.62843116997224,42,Tomato,0
2025-01-01,003:00,77,19.846559908838508,35,12.864465107519937,69,Wheat,0
2025-01-01,004:00,99,21.19425094963344,90,4.490043699006202,71,paddy,0
2025-01-01,005:00,76,29.916274998909536,58,9.468632547961137,87,Tomato,0
2025-01-01,006:00,62,32.32462720318949,87,17.492335906364318,0,Wheat,0
2025-01-01,007:00,2,24.40246474109491,34,25.627829424184625,51,Wheat,1
2025-01-01,008:00,79,25.423069075265644,43,20.014386029623964,30,paddy,0
2025-01-01,009:00,72,15.563509404739925,25,7.134862401571525,90,Wheat,0
2025-01-01,010:00,62,24.582522065162287,30,11.601536500584649,86,paddy,0
2025-01-01,011:00,97,29.379991814846903,84,25.776423366934225,78,Corn,0
2025-01-01,012:00,88,30.090549801842208,46,8.797080470027199,4,Corn,0
2025-01-01,013:00,67,35.60477266390242,88,23.455229774998283,37,Corn,0
2025-01-01,014:00,26,19.9766264996177,41,28.694223837423745,78,Corn,1
2025-01-01,015:00,99,17.54333805380856,49,13.110876489754247,51,paddy,0
2025-01-01,016:00,38,31.20750010462363,37,25.25928438378534,93,Corn,0
2025-01-01,017:00,16,17.71737397416742,56,16.788989132299125,10,Wheat,1
2025-01-01,018:00,93,25.389920826301594,95,11.102501292454694,47,Tomato,0
2025-01-01,019:00,58,28.72693603798534,42,10.206836497120044,92,Wheat,0
2025-01-01,020:00,60,27.71030157521667,58,16.034053820270316,69,Tomato,0
2025-01-01,021:00,77,33.62908362205023,93,23.87640244203512,82,Corn,0
2025-01-01,022:00,25,32.141616098341245,38,25.573707552639178,18,Tomato,1
2025-01-01,023:00,11,20.354546991293486,46,17.93272175146124,73,Corn,1
2025-01-02,000:00,77,26.97016514868421,25,21.07858584331685,87,paddy,0
2025-01-02,001:00,81,30.848515929748338,60,13.979996034233794,42,Corn,0
